ID	R1	R2	LongFastQ	Fast5	GenomeSize	Assembly
sampleA						/home/usuario/Seqs/Mepram/Test/ultrabacass/assemblies/barcode47.fasta
sampleB						/home/usuario/Seqs/Mepram/Test/ultrabacass/assemblies/barcode49.fasta
